
BookID,PreferentialPrice,author,bookName,image_urls,images,number,press,price
12061335,55.80,北斗儿童地理,北斗童书·中国地图：跟爸爸一起去旅行（百科知识版）大开本、精装绘本,//img13.360buyimg.com/n3/jfs/t7825/185/2542515982/873019/e2f29eec/59b10d89N9737a999.jpg,, 29 ,山东省地图出版社,68.00
11640774,166.00,罗尔德·达尔,罗尔德·达尔作品典藏（套装共13册）,//img14.360buyimg.com/n3/jfs/t3265/107/3053659331/447067/8f9fdfb6/57eb4354N8f2c1e0f.jpg,, 30 ,明天出版社,200.00
12312925,34.60,蕾拉小姐,只有时间知道,//img14.360buyimg.com/n3/jfs/t16198/362/2361619220/169201/5ddd48fa/5aa746b3Nd2b6fa2d.jpg,, 31 ,北京联合出版公司,48.00
12280737,36.80,汪开虎,星火英语 英语四级真题试卷 2018年6月全真试题+标准模拟 词汇写作翻译听力阅 ...,//img11.360buyimg.com/n3/jfs/t17050/142/107699987/346339/e1d480c6/5a5d6113N236a00ce.jpg,, 32 ,上海交通大学出版社,56.80
12326384,41.60,中国注册会计师协会,注册会计师2018教材 2018年注册会计师全国统一考试辅导教材 CPA 公司战 ...,//img11.360buyimg.com/n3/jfs/t16897/343/1234161398/44527/149a0c4d/5ac24323N9550eff7.jpg,, 33 ,中国财政经济出版社,52.00
12199221,32.10,凯利·麦格尼格尔,自控力 斯坦福大学广受欢迎心理学课程（新版）,//img11.360buyimg.com/n3/jfs/t9562/177/1395170810/144534/e61e23f/59e02012N10cdfd8c.jpg,, 34 ,文化发展出版社（原印刷工业出版社）,45.00
10018533,31.10,史蒂芬·霍金,时间简史（插图版）【荐书联盟推荐】,//img10.360buyimg.com/n3/jfs/t5749/151/2155508718/91400/b98f9834/592d2215N0f718a02.jpg,, 35 ,湖南科学技术出版社,45.00
12326390,57.60,中国注册会计师协会,注册会计师2018教材 2018年注册会计师全国统一考试辅导教材 CPA 审计,//img11.360buyimg.com/n3/jfs/t17581/247/1264225846/35871/f21cdbe2/5ac242b6N37f2ecae.jpg,, 36 ,中国财政经济出版社,72.00
11757834,64.20,刘慈欣,中国科幻基石丛书·三体（套装1-3册）,//img11.360buyimg.com/n3/jfs/t1705/189/702227414/177982/cc8c12f0/55dab54dN5271c377.jpg,, 37 ,重庆出版社,93.00
10016042,12.60,沈石溪,动物小说大王沈石溪·品藏书系：第七条猎狗,//img12.360buyimg.com/n3/18854/2998e778-8e79-4d1b-b596-df1b959967ca.jpg,, 38 ,浙江少年儿童出版社,16.00
